Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0.3076923076923077,0.08910891089108912,0.8181818181818181,0.4782608695652174,0.2857142857142857,0.6036036036036035,0.6666666666666666,0.4568965517241379,0.03787878787878788
0.6153846153846154,0.1485148514851485,0.4909090909090909,0.6086956521739131,0.6785714285714285,0.0,0.5333333333333333,0.7844827586206896,0.5833333333333334
0.038461538461538464,0.0,0.03636363636363636,0.021739130434782608,0.03571428571428571,0.02702702702702703,0.1,0.02586206896551724,0.015151515151515152
0.3076923076923077,0.1386138613861386,0.24545454545454545,0.10869565217391304,0.07142857142857142,0.3783783783783784,0.3,0.1724137931034483,0.015151515151515152
0.19230769230769232,0.0495049504950495,0.3909090909090909,0.15217391304347827,0.07142857142857142,0.22522522522522523,0.06666666666666667,0.5344827586206896,0.06818181818181819
0.34615384615384615,0.0297029702970297,0.35454545454545455,0.2608695652173913,0.07142857142857142,0.0,0.1,0.0,0.30303030303030304
0.3076923076923077,0.15841584158415842,0.35454545454545455,0.30434782608695654,0.5357142857142856,0.5315315315315315,0.4,1.0,0.08333333333333333
0.07692307692307693,0.009900990099009901,0.06363636363636363,0.021739130434782608,0.08928571428571427,0.16216216216216217,0.06666666666666667,0.034482758620689655,0.015151515151515152
0.3076923076923077,0.15841584158415842,0.35454545454545455,0.30434782608695654,0.5357142857142856,0.5315315315315315,0.4,1.0,0.08333333333333333
0.11538461538461539,0.297029702970297,0.03636363636363636,0.043478260869565216,0.05357142857142857,0.07207207207207207,0.13333333333333333,0.10344827586206896,0.06818181818181819
0.3076923076923077,0.15841584158415842,0.35454545454545455,0.30434782608695654,0.5357142857142856,0.5315315315315315,0.4,1.0,0.08333333333333333
0.0,0.0198019801980198,0.09090909090909091,0.043478260869565216,0.0,0.04504504504504504,0.0,0.06034482758620689,0.015151515151515152
0.038461538461538464,0.0198019801980198,0.10909090909090909,0.021739130434782608,0.017857142857142856,0.036036036036036036,0.0,0.10344827586206896,0.007575757575757576
0.38461538461538464,0.7722772277227723,0.8454545454545455,0.7608695652173912,0.3214285714285714,0.8108108108108109,0.26666666666666666,0.5948275862068966,0.3484848484848485
0.11538461538461539,0.009900990099009901,0.05454545454545454,0.08695652173913043,0.14285714285714285,0.18018018018018017,0.26666666666666666,0.07758620689655173,0.030303030303030304
0.3076923076923077,0.15841584158415842,0.35454545454545455,0.30434782608695654,0.5357142857142856,0.5315315315315315,0.4,1.0,0.08333333333333333
0.15384615384615385,0.15841584158415842,0.2727272727272727,0.2391304347826087,0.23214285714285715,0.32432432432432434,0.16666666666666666,0.22413793103448276,0.17424242424242425
0.11538461538461539,0.297029702970297,0.03636363636363636,0.043478260869565216,0.05357142857142857,0.07207207207207207,0.13333333333333333,0.10344827586206896,0.06818181818181819
0.3076923076923077,0.0297029702970297,0.11818181818181818,0.10869565217391304,0.03571428571428571,0.15315315315315314,0.26666666666666666,0.12931034482758622,0.030303030303030304
0.15384615384615385,0.0297029702970297,0.11818181818181818,0.17391304347826086,0.05357142857142857,0.12612612612612611,0.16666666666666666,0.11206896551724138,0.06818181818181819
0.07692307692307693,0.009900990099009901,0.03636363636363636,0.0,0.07142857142857142,0.07207207207207207,0.03333333333333333,0.08620689655172414,0.030303030303030304
0.07692307692307693,0.0198019801980198,0.07272727272727272,0.06521739130434782,0.017857142857142856,0.11711711711711711,0.0,0.09482758620689655,0.022727272727272728
0.19230769230769232,0.1683168316831683,0.4818181818181818,0.2608695652173913,0.30357142857142855,0.44144144144144143,0.06666666666666667,0.5172413793103449,0.16666666666666669
0.19230769230769232,0.1683168316831683,0.5545454545454546,0.8043478260869565,0.7499999999999999,0.954954954954955,0.4666666666666667,0.5258620689655172,0.4166666666666667
0.19230769230769232,0.297029702970297,1.0,0.7608695652173912,0.9999999999999999,1.0,0.8,0.6206896551724138,0.42424242424242425
0.2692307692307693,0.1386138613861386,0.6181818181818182,0.30434782608695654,0.2857142857142857,0.45945945945945943,0.5666666666666667,0.5172413793103449,0.07575757575757576
0.11538461538461539,0.0297029702970297,0.06363636363636363,0.06521739130434782,0.07142857142857142,0.11711711711711711,0.06666666666666667,0.12931034482758622,0.015151515151515152
0.38461538461538464,0.42574257425742573,0.8545454545454545,0.6521739130434783,0.35714285714285715,0.4954954954954955,0.1,0.8793103448275862,0.20454545454545453
0.34615384615384615,0.0297029702970297,0.35454545454545455,0.2608695652173913,0.07142857142857142,0.35135135135135137,0.1,0.29310344827586204,0.30303030303030304
0.11538461538461539,0.0495049504950495,0.1909090909090909,0.021739130434782608,0.07142857142857142,0.16216216216216217,0.16666666666666666,0.14655172413793102,0.045454545454545456
0.3076923076923077,0.0297029702970297,0.3909090909090909,0.3695652173913043,0.23214285714285715,0.3153153153153153,0.43333333333333335,0.25,0.27272727272727276
