Station Code,English Station Name,Thai Station Name,Line(s),First Opened,Has Transfer To,Plus Code,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
A2,Lat Krabang,ลาดกระบัง,ARL,23 August 2010,,,13.750578099999998,100.7943199,1,2,0,8,6,4,5,0,5,2
BL15,Lat Phrao,ลาดพร้าว,MRT,3 July 2004,MRL (under construction),,13.760136600000001,100.5659859,8,17,0,39,14,31,59,12,116,13
BL25,Lumphini,ลุมพินี,MRT,3 July 2004,MRL (planned),,13.726475899999999,100.5440269,7,11,2,34,13,25,76,4,44,23
A6,Makkasan,มักกะสัน,ARL,23 August 2010,MRT SRT (planned) MRL (planned),7P52QG4R+2V,13.755116899999999,100.54215129999999,4,8,0,38,13,10,52,10,49,59
PP12,Ministry of Public Health,กระทรวงสาธารณสุข,MRT,12 August 2016,,7P52RGX7+8V,13.8483217,100.5146271,2,8,0,22,3,7,8,4,5,5
N8,Mo Chit,หมอชิต,BTS,5 December 1999,MRT : Chatuchak Park,7P52RH23+XG,13.802497699999998,100.5538045,4,18,0,37,12,14,38,2,33,25
E3,Nana,นานา,BTS,5 December 1999,,7P52PHR4+65,13.740523000000001,100.55543399999999,4,9,0,41,33,31,64,11,59,108
W1,National Stadium,สนามกีฬาแห่งชาติ,BTS,5 December 1999,,7P52PGWH+HJ,13.746473000000002,100.529073,26,63,3,60,21,26,70,12,103,43
PP11,Nonthaburi Civic Center,ศูนย์ราชการนนทบุรี,MRT,12 August 2016,MRT (planned),7P52VG67+37,13.8601476,100.51324090000001,2,1,0,11,5,5,27,3,6,4
E9,On Nut,อ่อนนุช,BTS,5 December 1999,,7P52PJ42+69,13.705512300000002,100.6008805,19,3,1,27,4,15,47,16,70,17
E19,Pak Nam,ปากน้ำ,BTS,6 December 2018,,,13.595254,100.6071692,4,9,0,15,8,4,14,0,4,5
BL14,Phahon Yothin,พหลโยธิน,MRT,3 July 2004,BTS (under construction),7P52RH76+M3,13.814226500000002,100.5601556,10,28,1,91,26,28,47,2,99,26
N10,Phahon Yothin 24,พหลโยธิน 24,BTS,4 December 2019,,7P52RHF8+JH,13.824029999999999,100.56645859999999,1,13,0,30,14,13,46,8,43,14
BL36,Phasi Charoen,ภาษีเจริญ,MRT,21 September 2019,,7P52PFC4+3R,13.7201422,100.4570328,3,31,0,4,2,4,8,4,12,11
A8,Phaya Thai ARL,พญาไท,ARL,23 August 2010,BTS : Phaya Thai SRT (planned),7P52QG4R+2V,13.755116899999999,100.54215129999999,4,8,0,38,13,10,52,10,49,59
N2,Phaya Thai BTS,พญาไท,BTS,5 December 1999,ARL : Phaya Thai,,13.775637900000001,100.543198,3,4,1,42,21,13,50,11,15,11
BL21,Phetchaburi,เพชรบุรี,MRT,3 July 2004,ARL : Makkasan SRT (planned) MRL (planned),7P52PHX7+C6,13.7485804,100.5631017,9,63,3,56,7,23,53,11,49,32
BL35,Phetkasem 48,เพชรเกษม 48,MRT,21 September 2019,,7P52PC8W+9F,13.7159723,100.446173,6,4,0,11,2,9,9,0,10,5
E2,Phloen Chit,เพลินจิต,BTS,5 December 1999,MRL (planned),7P52PGVX+6H,13.743044,100.548974,5,17,0,56,34,43,98,15,58,57
S9,Pho Nimit,โพธิ์นิมิตร,BTS,12 January 2013,,7P52PF9P+PC,13.7192552,100.4860652,3,3,0,4,0,2,10,3,11,3
E21,Phraek Sa,แพรกษา,BTS,6 December 2018,,7P52HJM5+P6,13.584323999999999,100.608027,2,4,0,37,0,5,6,0,26,5
E8,Phra Khanong,พระโขนง,BTS,5 December 1999,,7P52PH8R+3G,13.7151737,100.5912598,5,7,0,22,6,15,43,16,39,13
PP08,Phra Nang Klao Bridge ,สะพานพระนั่งเกล้า,MRT,12 August 2016,,7P52VFCJ+44,13.870313000000001,100.48036390000001,0,5,0,5,1,3,8,3,5,4
BL20,Phra Ram 9,พระราม 9,MRT,3 July 2004,,7P52QH58+45,13.757775800000001,100.5653832,7,18,0,61,10,33,60,21,110,14
E5,Phrom Phong,พร้อมพงษ์,BTS,5 December 1999,,7P52PHJ9+5V,13.730423000000002,100.569738,16,7,1,66,32,32,74,30,103,37
E16,Pu Chao,ปู่เจ้า,BTS,6 December 2018,,7P52JHPR+WR,13.637277800000001,100.5920068,0,6,0,14,3,3,17,3,12,5
E11,Punnawithi,ปุณณวิถี,BTS,12 August 2011,,7P52MJQ5+HM,13.6889656,100.60916230000001,7,9,0,30,3,4,36,10,26,5
BL23,Queen Sirikit National Convention Centre,ศูนย์การประชุมแห่งชาติสิริกิติ์,MRT,3 July 2004,,7P52PHF6+72,13.7231519,100.5601019,1,2,1,35,6,3,45,4,12,10
A5,Ramkhamhaeng,รามคำแหง,ARL,23 August 2010,SRT (planned),7P52PJV2+53,13.7429925,100.60014740000001,11,5,0,29,6,6,32,7,38,10
S1,Ratchadamri,ราชดำริ,BTS,5 December 1999,,7P52PGQQ+MQ,13.7391984,100.53940870000001,5,6,0,33,20,32,38,21,33,29
BL16,Ratchadaphisek,รัชดาภิเษก,MRT,3 July 2004,,7P52QH89+4P,13.7653057,100.5692996,13,7,1,25,46,22,52,5,56,10
A7,Ratchaprarop,ราชปรารภ,ARL,23 August 2010,SRT (planned),7P52QG4R+2V,13.755116899999999,100.54215129999999,4,8,0,38,13,10,52,10,49,59
N1,Ratchathewi,ราชเทวี,BTS,5 December 1999,MRT (planned),,13.762684599999998,100.53707109999999,8,35,0,38,13,12,56,13,56,62
N11,Ratchayothin,รัชโยธิน,BTS,4 December 2019,,,13.775637900000001,100.543198,3,4,1,42,21,13,50,11,15,11
E18,Royal Thai Naval Academy,โรงเรียนนายเรือ,BTS,6 December 2018,,7P52JH5V+QM,13.609488199999998,100.5941597,3,6,0,4,1,2,4,1,5,3
PP07,Sai Ma,ไทรม้า,MRT,12 August 2016,,,13.760136600000001,100.5659859,8,17,0,39,14,31,0,12,116,13
S2,Sala Daeng,ศาลาแดง,BTS,5 December 1999,MRT : Si Lom,,13.728526800000001,100.5343257,7,55,2,47,39,21,109,10,86,54
E22,Sai Luat,สายลวด,BTS,6 December 2018,,,13.775637900000001,100.543198,3,4,1,42,21,13,50,11,15,11
