Station Code,English Station Name,Thai Station Name,Line(s),First Opened,Has Transfer To,Plus Code,Latitude,Longitude
N2,Phaya Thai BTS,พญาไท,BTS,5 December 1999,ARL : Phaya Thai,Not Available,13.7756379,100.543198
BL21,Phetchaburi,เพชรบุรี,MRT,3 July 2004,ARL : Makkasan SRT (planned) MRL (planned),7P52PHX7+C6,13.7485804,100.5631017
BL35,Phetkasem 48,เพชรเกษม 48,MRT,21 September 2019,,7P52PC8W+9F,13.7159723,100.446173
E2,Phloen Chit,เพลินจิต,BTS,5 December 1999,MRL (planned),7P52PGVX+6H,13.743044,100.548974
S9,Pho Nimit,โพธิ์นิมิตร,BTS,12 January 2013,,7P52PF9P+PC,13.7192552,100.4860652
E21,Phraek Sa,แพรกษา,BTS,6 December 2018,,7P52HJM5+P6,13.584324,100.608027
E8,Phra Khanong,พระโขนง,BTS,5 December 1999,,7P52PH8R+3G,13.7151737,100.5912598
PP08,Phra Nang Klao Bridge ,สะพานพระนั่งเกล้า,MRT,12 August 2016,,7P52VFCJ+44,13.870313,100.4803639
BL20,Phra Ram 9,พระราม 9,MRT,3 July 2004,,7P52QH58+45,13.7577758,100.5653832
E5,Phrom Phong,พร้อมพงษ์,BTS,5 December 1999,,7P52PHJ9+5V,13.730423,100.569738
E16,Pu Chao,ปู่เจ้า,BTS,6 December 2018,,7P52JHPR+WR,13.6372778,100.5920068
E11,Punnawithi,ปุณณวิถี,BTS,12 August 2011,,7P52MJQ5+HM,13.6889656,100.6091623
BL23,Queen Sirikit National Convention Centre,ศูนย์การประชุมแห่งชาติสิริกิติ์,MRT,3 July 2004,,7P52PHF6+72,13.7231519,100.5601019
A5,Ramkhamhaeng,รามคำแหง,ARL,23 August 2010,SRT (planned),7P52PJV2+53,13.7429925,100.6001474
S1,Ratchadamri,ราชดำริ,BTS,5 December 1999,,7P52PGQQ+MQ,13.7391984,100.5394087
BL16,Ratchadaphisek,รัชดาภิเษก,MRT,3 July 2004,,7P52QH89+4P,13.7653057,100.5692996
A7,Ratchaprarop,ราชปรารภ,ARL,23 August 2010,SRT (planned),7P52QG4R+2V,13.7551169,100.5421513
N1,Ratchathewi,ราชเทวี,BTS,5 December 1999,MRT (planned),Not Available,13.7626846,100.5370711
N11,Ratchayothin,รัชโยธิน,BTS,4 December 2019,,Not Available,13.7756379,100.543198
E18,Royal Thai Naval Academy,โรงเรียนนายเรือ,BTS,6 December 2018,,7P52JH5V+QM,13.6094882,100.5941597
PP07,Sai Ma,ไทรม้า,MRT,12 August 2016,,Not Available,13.7601366,100.5659859
S2,Sala Daeng,ศาลาแดง,BTS,5 December 1999,MRT : Si Lom,Not Available,13.7285268,100.5343257
E22,Sai Luat,สายลวด,BTS,6 December 2018,,Not Available,13.7756379,100.543198
E15,Samrong,สำโรง,BTS,3 April 2017,MRL (under construction),7P52JHWW+M8,13.6467329,100.5958528
PP03,Sam Yaek Bang Yai,สามแยกบางใหญ่,MRT,12 August 2016,,7P52VCF9+VR,13.8747385,100.4195113
BL27,Sam Yan,สามย่าน,MRT,3 July 2004,BTS (planned),7P52PGJH+WX,13.7323496,100.5299928
BL30,Sam Yot,สามยอด,MRT,29 July 2019,MRT (planned),7P52PGW3+X2,13.7473752,100.5025052
BL31,Sanam Chai,สนามไชย,MRT,29 July 2019,,7P52PFVV+GV,13.743859,100.49466
N4,Sanam Pao,สนามเป้า,BTS,5 December 1999,,7P52QGCR+WR,13.7723637,100.542038
N7,Saphan Khwai,สะพานควาย,BTS,5 December 1999,,7P52QGVX+GV,13.7937663,100.5497095
S6,Saphan Taksin,สะพานตากสิน,BTS,5 December 1999,,7P52PG97+GJ,13.718799,100.514119
